County	Collections	Data_Period_Business_Key
Hyde	148174.0	2018M12
Hyde	145139.0	2019M01
Hyde	107860.0	2019M02
Hyde	95826.0	2019M03
Hyde	164298.0	2019M04
Hyde	232238.0	2019M05
Hyde	320099.0	2019M06
Hyde	455711.0	2019M07
Hyde	578464.0	2019M08
Hyde	413535.0	2019M09
Hyde	212883.0	2019M10
Hyde	155305.0	2019M11
Hyde	154338.0	2019M12
Hyde	183080.0	2020M01
Hyde	140491.0	2020M02
Iredell	9823848.0	2018M10
Iredell	9771427.0	2018M11
Iredell	9933889.0	2018M12
Iredell	10755786.0	2019M01
Iredell	9033136.0	2019M02
Iredell	9201068.0	2019M03
Iredell	11378535.0	2019M04
Iredell	10557037.0	2019M05
Iredell	10730227.0	2019M06
Iredell	11367281.0	2019M07
Iredell	10749403.0	2019M08
Iredell	10355033.0	2019M09
Iredell	10748439.0	2019M10
Iredell	10683903.0	2019M11
Iredell	11051072.0	2019M12
Iredell	12439985.0	2020M01
Iredell	9975298.0	2020M02
Jackson	2437490.0	2018M10
Jackson	2421721.0	2018M11
Jackson	2253304.0	2018M12
Jackson	2225316.0	2019M01
Jackson	1784921.0	2019M02
Jackson	1834550.0	2019M03
Jackson	2275538.0	2019M04
Jackson	2234904.0	2019M05
Jackson	2475218.0	2019M06
Jackson	2846953.0	2019M07
Jackson	2752454.0	2019M08
Jackson	2759606.0	2019M09
Jackson	2755099.0	2019M10
Jackson	2630541.0	2019M11
Jackson	2472274.0	2019M12
Jackson	2609918.0	2020M01
Jackson	2113117.0	2020M02
Johnston	7802909.0	2018M10
Johnston	8233203.0	2018M11
Johnston	8712216.0	2018M12
Johnston	9833749.0	2019M01
Johnston	7379772.0	2019M02
Johnston	7127661.0	2019M03
Johnston	8877031.0	2019M04
Johnston	8139813.0	2019M05
Johnston	8117153.0	2019M06
Johnston	8463710.0	2019M07
Johnston	8039478.0	2019M08
Johnston	8416038.0	2019M09
Johnston	8215413.0	2019M10
Johnston	8263390.0	2019M11
Johnston	8450909.0	2019M12
Johnston	9619971.0	2020M01
Johnston	7435333.0	2020M02
