,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
102," ""37101""","Johnston, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,105710,102975,103260,121213,148249,174785,196159,170309,125582,114659,114627,153015,144404,155051,183752,184143,203878,226639
103," ""37101""","Johnston, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,17687,17526,16693,25315,30671,37789,37330,31217,21218,19546,18173,18790,18313,18125,22249,26082,28134,33027
104," ""37103""","Jones, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,3435,2915,3705,4217,3928,4091,4505,3852,2958,3555,4885,5279,4540,4001,4141,4476,5206,6075
105," ""37103""","Jones, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),2076,(D),2668,2471,2289,2409,(D),(D),(D)
106," ""37105""","Lee, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,44740,40774,50120,52410,55158,57113,59173,57564,49118,48239,47219,45356,49360,51318,59558,68332,71829,76493
107," ""37105""","Lee, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,12479,10864,13694,13279,11722,11951,12232,11717,10507,9229,8456,7519,8318,10546,10851,13161,16223,18167
108," ""37107""","Lenoir, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,66194,64816,72049,68351,71056,71114,77714,80055,69711,69037,73307,84904,92332,91817,96848,101253,108316,107405
109," ""37107""","Lenoir, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,7484,7814,7487,6674,6955,7595,8061,6948,6868,8629,6837,6370,5937,7398,7063,6712,5975,6617
110," ""37109""","Lincoln, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,49340,53394,50934,52476,61056,78010,94525,89887,80590,70241,68316,75244,82744,93085,102104,108190,109401,(D)
111," ""37109""","Lincoln, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,6942,8090,7831,8963,10584,11788,12412,13175,11071,9045,10197,15207,15225,18455,24898,29219,30655,(D)
112," ""37111""","McDowell, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,26157,26068,25691,26259,29051,30973,32555,31023,31532,22650,22901,24671,21513,22411,22942,24595,26332,25121
113," ""37111""","McDowell, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,5328,4547,3982,4143,4172,4332,4932,4231,2886,3081,3395,3290,3543,3773,3851,4616,4757,4589
114," ""37113""","Macon, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,40005,41651,41212,47906,51087,58617,59786,51781,39399,34038,29477,29737,26973,32177,35532,37326,36387,39724
115," ""37113""","Macon, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,18489,17496,15141,16368,17599,20727,22041,19769,16338,12659,12677,13381,10930,13611,14456,16178,14405,15722
116," ""37115""","Madison, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,16972,8952,5840,6919,8113,11343,12484,11578,(D),(D),5475,4788,5278,5749,6900,8241,9535,10773
